genes	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
gid8a	3	3.93398203146114e-10	-1.01213993612033	0.108	0.229	9.32904498940694e-06
st3gal5	3	4.03690571393236e-10	-1.50708740713824	0.053	0.148	9.5731182100192e-06
mrpl57	3	4.04780483972148e-10	-0.703220993620151	0.263	0.415	9.59896439691552e-06
ppp1cb	3	4.08904730859044e-10	-0.695417095574742	0.334	0.483	9.69676678759137e-06
nab1b	3	4.23439590970598e-10	2.75819321580324	0.108	0.024	1.00414464602768e-05
imp4	3	4.23682903747758e-10	-1.34893121929711	0.065	0.167	1.00472163794743e-05
krtcap2	3	4.26504092631719e-10	-0.845001124345419	0.321	0.459	1.01141180526686e-05
xpot	3	4.59890540410586e-10	-1.30148994291125	0.087	0.197	1.09058442752966e-05
kdelr3	3	4.68254801849741e-10	-1.56153519116061	0.086	0.194	1.11041943710648e-05
parn	3	4.76061299532478e-10	-1.02482785904668	0.119	0.242	1.12893176571132e-05
sesn2	3	4.85530453635362e-10	-2.07407137806653	0.041	0.127	1.1513869177509e-05
nhp2	3	4.90757618134276e-10	-0.794452392026841	0.204	0.35	1.16378261564362e-05
ufm1	3	4.98592261109432e-10	-0.777908931019171	0.216	0.362	1.18236168799491e-05
gtf3c6	3	4.99678253642239e-10	-1.97211304224876	0.028	0.105	1.1849370106872e-05
gb:bc139872	3	5.00773073592419e-10	-1.16772236006876	0.106	0.223	1.18753326671706e-05
smarcb1a	3	5.01159995817791e-10	-0.914527242333035	0.179	0.316	1.18845081408231e-05
blmh	3	5.14512609507135e-10	-0.942682322369834	0.16	0.294	1.22011520218522e-05
pnisr	3	5.20697131327259e-10	-0.815143695910359	0.255	0.402	1.23478117722946e-05
CABZ01078607.1	3	5.2565576137776e-10	-1.94495071126623	0.041	0.127	1.24654007253122e-05
rps20	3	5.46109514247627e-10	-0.25841263611783	1	1	1.29504410208682e-05
hspa4b	3	5.47043130828568e-10	-0.799761303411906	0.258	0.401	1.29725808044687e-05
psma8	3	5.49995373689087e-10	-0.440168923827094	0.574	0.717	1.3042590291663e-05
ube2a	3	5.52711325089246e-10	-0.724077828828199	0.258	0.41	1.31069963631664e-05
nelfcd	3	5.66952174423902e-10	-1.49345944367394	0.054	0.148	1.34447038642884e-05
psmd1	3	5.74382246006319e-10	-0.701251911277835	0.359	0.51	1.36209005817938e-05
tex261	3	5.81726787696961e-10	-1.20096468942225	0.092	0.203	1.37950690434457e-05
pdha1a	3	5.82539068830463e-10	-0.631806418046542	0.257	0.415	1.38143314782456e-05
ldlra	3	6.01463418933831e-10	1.57855458074094	0.184	0.073	1.42631035165969e-05
cotl1	3	6.01963720754434e-10	-0.67880634625054	0.497	0.615	1.42749676739706e-05
gpx4a	3	6.04768462264689e-10	2.25852904205962	0.234	0.111	1.43414793141448e-05
si:ch211-235e9.8	3	6.3602658897389e-10	1.23387818789554	0.351	0.223	1.50827345309268e-05
hmgcl	3	6.50096929180194e-10	-1.24189077657247	0.094	0.205	1.54163985785791e-05
rae1	3	6.54640435565922e-10	-1.63953770316189	0.048	0.138	1.55241432890103e-05
tmem167b	3	6.69498194585842e-10	-1.69200512305602	0.048	0.138	1.58764801864087e-05
brd3b	3	6.71868676726188e-10	-0.542057443893519	0.404	0.563	1.59326937998848e-05
nocta	3	6.76099266134637e-10	1.05463337434119	0.397	0.262	1.60330179971168e-05
lman2lb	3	6.91354493926907e-10	-1.48101746499183	0.059	0.154	1.63947804689827e-05
xpr1b	3	7.03713646973139e-10	1.27273608914353	0.242	0.118	1.6687865424321e-05
cant1a	3	7.15317844384995e-10	-1.7520124324203	0.036	0.118	1.69630473617458e-05
rps26l	3	7.33962610979638e-10	-0.252036801853071	0.999	1	1.74051893567711e-05
wdr82	3	7.39551748496842e-10	-1.06329241954184	0.137	0.259	1.75377301638541e-05
sptssa	3	7.43965646290524e-10	-0.665163510837382	0.23	0.378	1.76424013361335e-05
leng1	3	7.53150300932941e-10	-1.32456236891629	0.09	0.199	1.78602062363238e-05
MED9	3	7.59047340777798e-10	-1.14311187704239	0.134	0.256	1.80000486392047e-05
tmem50a	3	7.6186863097517e-10	-0.68688615243101	0.234	0.388	1.80669527149452e-05
