genes	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
mrpl17	1	3.25442976848287e-29	-1.80978146839567	0.062	0.174	7.71755475298028e-25
tank	1	3.2984028463467e-29	-2.07120140508856	0.032	0.12	7.82183250982657e-25
pcbp2	1	3.77943960703817e-29	-0.698598885435668	0.424	0.65	8.96256308413032e-25
lfng	1	4.0639681282122e-29	0.86702239732475	0.774	0.771	9.63729401924241e-25
cacnb2a	1	4.23092112323345e-29	1.35456250078334	0.33	0.156	1.00332063516358e-24
anxa11b	1	4.43885642393002e-29	-0.538095286012578	0.511	0.753	1.05263041237076e-24
taf10	1	4.54604514772732e-29	-1.20554481125154	0.144	0.294	1.07804914633206e-24
tmx1	1	5.52000251472404e-29	-1.60576735378664	0.076	0.196	1.30901339634166e-24
mgst3b	1	5.64835392741007e-29	-0.582845862048815	0.556	0.786	1.33945065034602e-24
pfdn5	1	6.16361742499709e-29	-1.01560472644092	0.198	0.368	1.46164023616381e-24
vamp3	1	6.89386619623511e-29	-0.540235694853471	0.6	0.798	1.6348114297752e-24
dlc1	1	6.90649418701312e-29	1.18860172765915	0.363	0.178	1.63780603150829e-24
nutf2l	1	7.75071210070148e-29	-0.792878486507591	0.267	0.464	1.83800386756035e-24
tbc1d10aa	1	7.91995770820467e-29	1.00459686153212	0.445	0.259	1.87813877092366e-24
rab11a	1	8.09397380721159e-29	-0.597948573435339	0.617	0.812	1.91940494864216e-24
tuba8l4	1	8.14148571422638e-29	-0.513282870351741	0.947	0.986	1.93067192227164e-24
bzw1a	1	1.00337324358704e-28	-0.545675768301489	0.607	0.814	2.37939930984231e-24
impa1	1	1.14351730290875e-28	-1.65994474280116	0.056	0.164	2.71173693211781e-24
glo1	1	1.17551905526039e-28	-0.597253031892972	0.492	0.711	2.7876258876445e-24
ssbp1	1	1.24833453061676e-28	-1.65666475463991	0.068	0.183	2.96030050590458e-24
rps27.2	1	1.31904042538797e-28	-0.390520240063281	0.982	0.997	3.12797246476503e-24
aurkaip1	1	1.34321256897082e-28	-1.58350975007346	0.086	0.209	3.1852942860574e-24
pa2g4b	1	1.4320635633748e-28	-0.615578887415353	0.362	0.577	3.395995534187e-24
fkbp3	1	1.64083084310286e-28	-0.969554575836686	0.199	0.366	3.89106626133411e-24
uqcr10	1	1.78708461820623e-28	-0.554450899180576	0.656	0.856	4.23789246361425e-24
mrps25	1	1.86259342075437e-28	-1.49830016094342	0.087	0.212	4.41695403797691e-24
ncbp2	1	1.88907042437413e-28	-1.20294200443107	0.137	0.283	4.47974160436082e-24
pgam5	1	1.93688523619392e-28	-1.59208580406291	0.068	0.182	4.59312964911026e-24
ube2nb	1	1.95495997042989e-28	-1.42045170123204	0.118	0.255	4.63599207387743e-24
uchl5	1	2.0173524841662e-28	-1.48216329343659	0.06	0.17	4.78394968095172e-24
hddc3	1	2.13251357941346e-28	-1.93565673437668	0.035	0.125	5.05704270222107e-24
palm1a	1	2.71172903131309e-28	-1.15207163925285	0.2	0.354	6.43059422485586e-24
kmt2e	1	2.80985059708321e-28	0.943704947452831	0.448	0.266	6.66327970592314e-24
caprin1a	1	2.84710084924503e-28	-1.50801538936821	0.102	0.233	6.75161495389967e-24
prdx3	1	2.89443136588436e-28	-0.841171687008575	0.218	0.4	6.86385454105818e-24
dnajb11	1	3.13469412606115e-28	-1.26214558394676	0.168	0.319	7.43361365054142e-24
ahr2	1	3.16609396682938e-28	0.890125533429593	0.607	0.515	7.50807523293919e-24
bambia	1	3.42956603504461e-28	1.1371370757371	0.608	0.488	8.13287289550478e-24
errfi1a	1	4.46531785667459e-28	0.316637900417899	0.879	0.857	1.05890547653181e-23
rpl21	1	4.73417771698886e-28	-0.354562087573642	0.997	1	1.12266290380674e-23
eif3f	1	5.09673071167019e-28	-0.41528591362809	0.909	0.963	1.20863872096547e-23
lrrc59	1	5.13379475742824e-28	-1.47624310434346	0.078	0.198	1.21742808877653e-23
ppargc1b	1	5.65363086308765e-28	1.54218950395911	0.257	0.095	1.3407020228726e-23
kansl1a	1	5.71299957141543e-28	1.03919890344724	0.399	0.217	1.35478071836545e-23
praf2	1	6.57978869357666e-28	-1.55556646889172	0.064	0.175	1.56033109079477e-23
gtf2h5	1	8.04711355854626e-28	-1.14486381525113	0.121	0.263	1.90829250927366e-23
klf13	1	8.21658416487269e-28	2.61731265973593	0.18	0.042	1.94848076885791e-23
elavl1a	1	8.63807467614884e-28	-0.725810915680678	0.369	0.573	2.04843302870194e-23
xpr1b	1	8.77699553952317e-28	1.27820376604938	0.32	0.148	2.08137672224252e-23
mex3b	1	9.83062247539627e-28	-1.14622372031634	0.353	0.487	2.33123381381547e-23
myl9a	1	1.02626779092405e-27	-0.877375662342525	0.432	0.601	2.43369143939728e-23
zgc:101783	1	1.07241024273277e-27	-1.8624110734634	0.046	0.143	2.54311364961649e-23
xbp1	1	1.08831900180326e-27	0.335123125642442	0.985	0.991	2.58083968087625e-23
nedd4a	1	1.12166664643375e-27	1.76333194512975	0.284	0.123	2.65992028535299e-23
lamtor2	1	1.12639318156885e-27	-1.00359791126336	0.203	0.366	2.67112879077237e-23
suco	1	1.1506123261442e-27	1.40343828241876	0.28	0.115	2.72856207021836e-23
mrpl13	1	1.25418125991887e-27	-1.47305532516677	0.069	0.183	2.97416543977161e-23
dnajb1a	1	1.3760111834651e-27	1.02770451811804	0.404	0.221	3.26307292046913e-23
gli2a	1	1.57227207165084e-27	-1.86511553585607	0.037	0.128	3.7284859907128e-23
sesn1	1	1.68301886484123e-27	0.387267534363204	0.858	0.764	3.99111093608448e-23
usp5	1	1.7247072274251e-27	-1.59187422280125	0.099	0.224	4.08997071911587e-23
rasip1	1	1.74468082751229e-27	-0.604507235161776	0.679	0.792	4.13733611436265e-23
zmat2	1	1.77758178697669e-27	-1.02360443365238	0.198	0.357	4.21535744963652e-23
fnip1	1	1.79812285266383e-27	1.77144842445455	0.262	0.105	4.26406853280701e-23
b3gnt5a	1	2.07003671743864e-27	2.25978977325839	0.235	0.081	4.90888507173399e-23
fundc2	1	2.07010018894371e-27	-1.05191477803185	0.179	0.336	4.90903558806111e-23
rtn4a	1	2.72525610279231e-27	-0.53332713289512	0.404	0.634	6.46267232216169e-23
itgb1b	1	2.78516650045588e-27	1.7910531097285	0.224	0.073	6.60474383918107e-23
CABZ01005876.1	1	2.99400372362076e-27	1.26938935631562	0.287	0.119	7.09998043019427e-23
MYL6 (1 of many)	1	2.99917010016075e-27	-0.422939471040189	0.983	0.995	7.11223197552119e-23
calm3a	1	3.15917556640687e-27	-0.518027819893538	0.724	0.892	7.49166893817725e-23
sec22ba	1	3.23020126781659e-27	-1.87829375638543	0.037	0.126	7.66009928650026e-23
lpl	1	4.28142957133634e-27	0.929965108525446	0.499	0.322	1.0152982085467e-22
p4ha2	1	4.31368656904863e-27	1.79188650930404	0.219	0.071	1.02294763298419e-22
cyc1	1	4.5781945078945e-27	-0.521146898365385	0.51	0.744	1.0856730456021e-22
id2b	1	4.60667369610686e-27	0.650860414251584	0.353	0.171	1.09242660029478e-22
ufm1	1	4.64148873080233e-27	-1.12687397960099	0.119	0.257	1.10068263762246e-22
eif4ebp1	1	4.66870375762047e-27	-0.622048837685273	0.336	0.542	1.10713640908212e-22
tm2d3	1	4.70797880570259e-27	-1.42891877315626	0.092	0.215	1.11645009398431e-22
flot2a	1	4.94439084418649e-27	1.06735968070195	0.385	0.209	1.17251284479038e-22
ppp2r1bb	1	5.08692792693179e-27	-1.23929183111094	0.149	0.291	1.20631408859261e-22
mrpl28	1	5.77816690670613e-27	-1.68812731236286	0.074	0.188	1.37023450025629e-22
wasf3b	1	5.89744771412496e-27	0.829641646240886	0.575	0.414	1.39852075092759e-22
gcsha	1	6.12491118671429e-27	-1.51357205134268	0.06	0.166	1.45246143881743e-22
meis2a	1	7.34456187211266e-27	-1.39381169442145	0.11	0.24	1.7416894023528e-22
zgc:56304	1	8.36360841879617e-27	-1.02316738577237	0.215	0.38	1.98334610043332e-22
bola1	1	8.44205528490892e-27	-1.83328440865623	0.038	0.128	2.0019489902633e-22
caap1	1	8.99405311778935e-27	-2.15141170379099	0.032	0.115	2.13284975635257e-22
per3	1	9.34449414381967e-27	0.866089246927636	0.456	0.276	2.2159533412654e-22
stox1	1	9.72015819333172e-27	1.57695492211979	0.287	0.127	2.30503831396668e-22
si:ch1073-325m22.2	1	1.00156476832274e-26	-0.5226713473708	0.603	0.806	2.37511069160055e-22
rnf169	1	1.02448465099028e-26	0.973028222283529	0.402	0.226	2.42946290135835e-22
kitlga	1	1.02836982482347e-26	-1.31594155306176	0.19	0.333	2.43867620258638e-22
sult1st1	1	1.09276044497244e-26	1.40935497362372	0.256	0.097	2.59137211920764e-22
hspa14	1	1.12160203867162e-26	-1.65905926978029	0.054	0.156	2.65976707450588e-22
pdcd5	1	1.1252471550739e-26	-1.42541598234296	0.078	0.195	2.66841110354224e-22
pigx	1	1.17265392333993e-26	-1.764736427589	0.033	0.118	2.78083151380831e-22
rbb4l	1	1.55317223659597e-26	-1.31486035302663	0.111	0.241	3.68319264186367e-22
si:dkey-56i24.1	1	1.56182890971255e-26	-2.42743684699737	0.03	0.11	3.70372107649233e-22
si:ch211-214p16.1	1	1.71747960195616e-26	-0.26408092340279	0.292	0.508	4.07283112807885e-22
mbd3b	1	1.76627347310568e-26	-1.97379186326345	0.025	0.101	4.18854091412281e-22
rac1a	1	1.85715844828926e-26	-0.622131340335703	0.525	0.69	4.40406554427314e-22
smn1	1	2.03595472346529e-26	-2.03775492199542	0.033	0.118	4.82806303122559e-22
arf2a	1	2.13501074498984e-26	-0.570961881642801	0.546	0.742	5.06296448066891e-22
ufc1	1	2.18363201571867e-26	-1.73907891539612	0.058	0.16	5.17826496207525e-22
rap1b	1	2.34093315590627e-26	-0.478355542388538	0.808	0.95	5.55128888591614e-22
nat9	1	2.46573623902905e-26	-1.66904411216899	0.049	0.146	5.8472469172335e-22
eprs	1	2.53288044899874e-26	-1.69988528323903	0.064	0.171	6.00647269675562e-22
ppp1caa	1	2.58432016384229e-26	-0.571082054890539	0.435	0.653	6.1284568365356e-22
sox7	1	2.83968645538993e-26	-0.914983893293769	0.924	0.945	6.73403246031167e-22
rad21a	1	3.01364068332981e-26	-0.554689083690681	0.517	0.738	7.14654751644831e-22
si:dkey-16p21.8	1	3.06023069663093e-26	1.42843881373651	0.219	0.069	7.25703107399058e-22
fam174b	1	3.11402305374704e-26	0.615340358251072	0.589	0.399	7.38459426965573e-22
mob1a	1	3.4118987013384e-26	-0.56202149102902	0.453	0.666	8.09097658035388e-22
egln3	1	3.49861323075712e-26	1.78169307205021	0.202	0.06	8.29661141541743e-22
ier3ip1	1	3.52556866086665e-26	-0.996126734462747	0.185	0.34	8.36053352237917e-22
otub1b	1	3.74814730677941e-26	-1.89850373595922	0.028	0.108	8.88835652329669e-22
si:ch211-222l21.1	1	4.13079694600085e-26	0.276053214314701	0.996	0.984	9.79577187774641e-22
uba5	1	4.16568047893923e-26	-1.97989827267086	0.035	0.121	9.87849468775648e-22
zgc:112271	1	4.16994260977728e-26	-1.29332065692536	0.097	0.221	9.88860190482585e-22
AKAP13	1	4.36984271924955e-26	-0.597799188570796	0.6	0.777	1.03626450244284e-21
fabp3	1	4.40709797732613e-26	-0.797061683916026	0.196	0.371	1.04509921434312e-21
sesn2	1	4.80992570680309e-26	-1.84284323708108	0.046	0.139	1.14062578211128e-21
ppp1r14aa	1	4.86199232515546e-26	-2.48521389896664	0.032	0.113	1.15297285998737e-21
rps20	1	5.53593629920196e-26	-0.338247625680179	1	1	1.31279193399275e-21
mapkapk2a	1	5.584099325489e-26	0.751965616523467	0.628	0.544	1.32421331404646e-21
cct2.1	1	5.61174759222576e-26	-0.477341379532376	0.76	0.905	1.33076982402042e-21
mrps33	1	5.71411792068365e-26	-1.67518484261071	0.077	0.189	1.35504592371092e-21
rtcb	1	5.76880084856172e-26	-1.91616314144646	0.038	0.126	1.36801343322793e-21
eif2s1b	1	6.24296346069914e-26	-0.546873664733068	0.501	0.721	1.48045635507019e-21
ube2e3	1	6.27660085864501e-26	-0.503784593941175	0.486	0.714	1.48843312761908e-21
she	1	6.72607553952288e-26	0.597725598596176	0.623	0.455	1.59502155344245e-21
psenen	1	6.81428617053524e-26	-0.929273223772724	0.243	0.403	1.61593982248073e-21
sik2b	1	6.92425262475345e-26	1.02543890449178	0.485	0.353	1.64201726743403e-21
ptpn21	1	7.22572814534519e-26	1.40633814648974	0.269	0.111	1.71350917238716e-21
sec61a1	1	7.59633166947731e-26	-0.551149903627895	0.564	0.767	1.80139409209985e-21
stat1a	1	8.26444077505747e-26	0.676209151226561	0.731	0.703	1.95982948539713e-21
pnisr	1	8.65940248851929e-26	-1.20227639902343	0.154	0.296	2.05349070612746e-21
cyr61l2	1	9.30148275060275e-26	0.579295918015034	0.471	0.281	2.20575361947794e-21
arpp19b	1	9.33552892103181e-26	-1.32455749376216	0.093	0.215	2.21382732833348e-21
rybpb	1	9.87434940151504e-26	1.39936397080709	0.267	0.111	2.34160321707528e-21
vps4b	1	1.04666949162004e-25	-0.705624505291747	0.343	0.535	2.48207203242776e-21
cript	1	1.06031650929207e-25	-1.7062908015115	0.049	0.145	2.51443457013522e-21
hnrnpa1b	1	1.19858171628904e-25	-0.499989492739144	0.558	0.782	2.84231668200782e-21
eif4ebp2	1	1.23138352024633e-25	-0.53746233099126	0.469	0.683	2.92010287991214e-21
pet100	1	1.24329133519595e-25	-1.21567849423105	0.124	0.258	2.94834107228369e-21
si:ch211-117c9.5	1	1.27685960897569e-25	-2.04792194815242	0.058	0.156	3.02794487672496e-21
cebpb	1	1.36324322229718e-25	-0.595523773640193	0.662	0.8	3.23279497735552e-21
smad3a	1	1.36939379475115e-25	0.92622817889104	0.608	0.541	3.24738044487288e-21
arhgap17a	1	1.43473867344906e-25	1.4511357604784	0.238	0.087	3.40233929021709e-21
rhag	1	1.44895937364351e-25	3.4388240032563	0.153	0.03	3.43606225865821e-21
MYO1D	1	1.52095374113412e-25	-1.18660488205813	0.172	0.316	3.60678970172545e-21
supt4h1	1	1.5258252815484e-25	-1.05575324594868	0.192	0.346	3.61834207266389e-21
arf5	1	1.53179132331526e-25	-0.483359137570112	0.762	0.918	3.63248994410981e-21
klf6a	1	1.53454000572041e-25	-0.433570056778094	0.977	0.99	3.63900816956538e-21
pleca	1	1.70695543194946e-25	1.4055136882301	0.289	0.131	4.04787411132495e-21
hsbp1l1	1	1.70778023230826e-25	-1.96510962016365	0.033	0.115	4.04983004289581e-21
uqcrfs1	1	1.84691107139575e-25	-0.543517462248692	0.54	0.751	4.37976491470788e-21
adgre5b.3.1	1	2.01397684412795e-25	2.2931619561192	0.162	0.035	4.77594468816502e-21
mrpl12	1	2.07787273739308e-25	-0.938821288970627	0.188	0.346	4.92746740945395e-21
magt1	1	2.15759147657734e-25	-0.898596361880784	0.255	0.417	5.11651242755549e-21
uxs1	1	2.48212496043236e-25	-1.54512232509232	0.07	0.177	5.8861111311693e-21
rab5c	1	2.4834514777402e-25	-0.516859626662458	0.622	0.81	5.88925683431311e-21
alg5	1	2.50765688387152e-25	0.783675185273909	0.396	0.21	5.94665753441292e-21
fam214a	1	2.58941137285793e-25	1.37589664246222	0.288	0.129	6.14053012959528e-21
srsf5b	1	2.74027431867127e-25	-1.22316843070674	0.131	0.265	6.49828651929706e-21
CU570769.1	1	2.91250905716329e-25	2.6764905956707	0.17	0.042	6.90672397815703e-21
pabpn1	1	2.9880436085404e-25	-0.493227878673569	0.55	0.764	7.0858466132927e-21
sox18	1	3.06769830247167e-25	1.42008607350292	0.263	0.109	7.27473975448131e-21
u2af2b	1	3.08207320481788e-25	-0.565953358127781	0.392	0.599	7.30882839790511e-21
cldn5a	1	3.20054172750171e-25	1.47318646961012	0.326	0.164	7.58976465259756e-21
si:dkey-253i9.4	1	3.3361632276414e-25	1.06048860371745	0.386	0.22	7.91137747802882e-21
tmcc3	1	3.38841444953217e-25	1.31675296234141	0.292	0.133	8.03528602562058e-21
clpp	1	3.44570444380255e-25	-1.66408456181119	0.055	0.153	8.17114351803336e-21
wwc3	1	3.47573873077119e-25	1.20488071924841	0.337	0.175	8.2423668261508e-21
si:ch211-74m13.3	1	3.61383409788011e-25	1.40702992067748	0.257	0.104	8.5698461797129e-21
pdia4	1	3.88551267653665e-25	-1.46284608593818	0.117	0.242	9.21410476113901e-21
mydgf	1	4.48276973727974e-25	-1.40281455340582	0.094	0.213	1.06304401549852e-20
capza1a	1	4.80334503401174e-25	-0.548999920424638	0.613	0.799	1.13906524136554e-20
lonrf1l	1	4.89020131518562e-25	0.651036802768508	0.704	0.646	1.15966233988312e-20
wnk1a	1	5.0290385395594e-25	-1.22685267815827	0.19	0.331	1.19258619927112e-20
rps26l	1	5.30303718913862e-25	-0.328799525344454	0.997	1	1.25756223903233e-20
cpne1	1	5.4059098507821e-25	-0.703414172481596	0.401	0.578	1.28195746201447e-20
arpc1a	1	5.60568688280562e-25	-0.664988920098806	0.56	0.724	1.32933258738853e-20
tsku	1	5.74400572999312e-25	1.21058076659331	0.339	0.175	1.36213351881057e-20
rpl8	1	6.71796653035307e-25	-0.333267444714051	0.998	1	1.59309858300793e-20
gtf2f2a	1	6.71995120034325e-25	-1.35108148236028	0.098	0.219	1.5935692276494e-20
srsf9	1	6.80956102774356e-25	-1.17239439650225	0.129	0.262	1.61481930211911e-20
slc48a1b	1	6.81620497370608e-25	-1.95702364988256	0.031	0.11	1.61639484746466e-20
zgc:123105	1	6.84791822735273e-25	-1.26646925464534	0.105	0.229	1.62391532843443e-20
trioa	1	7.12166374485777e-25	1.16912449996971	0.288	0.127	1.68883134045557e-20
dcaf7	1	7.28470770969065e-25	-1.07460532733039	0.165	0.307	1.72749558627604e-20
prkacab	1	7.35658645183135e-25	-1.37273916970823	0.082	0.195	1.74454091118729e-20
mrpl57	1	8.68855981394997e-25	-1.07306346218972	0.165	0.309	2.0604050742801e-20
flt1	1	8.98809918732361e-25	-0.603079709700509	0.636	0.76	2.13143784128192e-20
ier2b	1	9.03134785657821e-25	-0.736321565259258	0.907	0.971	2.14169383070896e-20
klf9	1	9.48541045386878e-25	3.17032966265715	0.124	0.014	2.24937023503044e-20
atg101	1	1.10936118064348e-24	-1.66982165784362	0.045	0.135	2.63073910377796e-20
smim15	1	1.14930726605129e-24	-1.02786417247377	0.191	0.338	2.72546725071403e-20
ndel1b	1	1.17996777138406e-24	0.796246840127928	0.543	0.389	2.79817557306017e-20
hnrnpa0l.1	1	1.18755301488663e-24	-0.300669319368749	0.995	1	2.81616321950214e-20
FQ976914.1	1	1.23213398505479e-24	1.70235265898267	0.188	0.054	2.92188253215893e-20
cebpd	1	1.25532767862067e-24	0.437153371041387	0.784	0.74	2.97688405708105e-20
si:dkey-253d23.3	1	1.26430404784329e-24	-1.96916783673801	0.038	0.122	2.99817061905557e-20
tbl2	1	1.30305212713157e-24	-1.67223755856037	0.045	0.136	3.09005781427981e-20
cyth3a	1	1.3417873837778e-24	1.01082762102728	0.355	0.183	3.18191460189067e-20
ablim2	1	1.4982804794643e-24	2.21381852475298	0.163	0.038	3.55302232900164e-20
cmpk	1	1.51601384906397e-24	-1.10623111468949	0.164	0.305	3.59507524167031e-20
si:dkey-85k7.7	1	1.51777520308662e-24	-1.19787643730233	0.181	0.326	3.59925211659962e-20
chst15	1	1.5221582702402e-24	3.32599334858657	0.122	0.013	3.6096461220476e-20
sub1b	1	1.6233472410838e-24	-1.43610123070566	0.088	0.202	3.84960564750613e-20
smox	1	1.75836062958119e-24	0.703933539794733	0.818	0.833	4.16977639698883e-20
fmnl2a	1	1.765005238567e-24	1.89258149989422	0.157	0.033	4.18553342273779e-20
txn	1	1.90903747712189e-24	-1.5814053276896	0.15	0.287	4.52709147324686e-20
eif3i	1	1.90948277586739e-24	-0.537390220424599	0.501	0.711	4.52814745469194e-20
atox1	1	1.92653824505296e-24	-0.952025047969534	0.225	0.381	4.56859279431859e-20
zfand2a	1	1.96889944995126e-24	0.8574248013254	0.624	0.543	4.66904815561441e-20
trmt112	1	2.38137336556748e-24	-1.33411134945992	0.105	0.227	5.64718879910673e-20
myl12.2	1	2.38634720394119e-24	-0.960134024872945	0.272	0.423	5.65898375942614e-20
jdp2b	1	2.40004858603278e-24	0.721287850688603	0.876	0.867	5.69147521691813e-20
sf3b4	1	2.45910352388098e-24	-1.56820217417358	0.056	0.154	5.83151809653137e-20
tp53inp2	1	2.57567312235926e-24	-1.48378423573789	0.07	0.176	6.10795124236275e-20
smad6a	1	2.6390739853592e-24	1.47727128743435	0.257	0.107	6.2583000488808e-20
lmf2b	1	2.82959558242511e-24	-1.75577370436917	0.043	0.13	6.71010296416291e-20
anp32e	1	2.8486867249785e-24	-1.10047341310107	0.19	0.334	6.75537569961401e-20
zgc:175214	1	2.96427240443548e-24	1.81920208626193	0.191	0.058	7.02947557987829e-20
srsf6b	1	3.13477817384766e-24	-0.649610759404341	0.427	0.624	7.43381296146233e-20
mvb12a	1	3.26604292101411e-24	-1.28453343707129	0.12	0.245	7.74509418289285e-20
litaf	1	3.31449538414268e-24	-0.450633867734177	0.654	0.863	7.85999435395596e-20
pecam1	1	3.35106135550205e-24	-1.06587460127309	0.456	0.552	7.94670689843755e-20
zcchc17	1	3.404852104239e-24	-1.97008509545761	0.026	0.1	8.07426627999237e-20
si:ch211-149k12.3	1	3.50491739456603e-24	-1.60891162319154	0.066	0.169	8.31156110947388e-20
uck2b	1	3.68509733532434e-24	-0.430570375843374	0.538	0.777	8.73883982098813e-20
rtn1a	1	4.23921629537092e-24	-0.894134901701882	0.239	0.394	1.00528775228426e-19
tubb5	1	4.35223393048702e-24	-1.36495067127824	0.104	0.224	1.03208875427569e-19
nnt	1	4.58551404143076e-24	-1.2553125699033	0.109	0.232	1.08740879978489e-19
nae1	1	5.04436213843617e-24	-2.05352223785373	0.032	0.109	1.19622003750875e-19
cited1	1	5.09493419428173e-24	1.69333410583412	0.212	0.074	1.20821269483197e-19
kmt2ca	1	5.17031595742039e-24	0.923723145381606	0.354	0.188	1.22608872614267e-19
rras2	1	5.20648401791638e-24	1.24075410372402	0.305	0.148	1.23466562000869e-19
arl2	1	5.2307906990816e-24	-1.72789965940863	0.045	0.134	1.24042970638021e-19
ift74	1	5.46128320138161e-24	-1.94089338274283	0.033	0.113	1.29508869837564e-19
rpl11	1	5.57108114126427e-24	-0.308185561864064	1	1	1.32112618183941e-19
thop1	1	5.87722601123802e-24	-1.43269052704547	0.086	0.199	1.39372537630498e-19
hars	1	5.90332958253735e-24	-1.25405126800246	0.132	0.262	1.39991557720291e-19
emc6	1	6.06238089252226e-24	-1.01944149918542	0.207	0.354	1.43763300485273e-19
mrpl36	1	6.34902484588488e-24	-0.863433893481465	0.214	0.37	1.50560775195314e-19
pole4	1	6.37985062758181e-24	-1.93710777301134	0.037	0.12	1.51291777782475e-19
mef2ca	1	6.48648578199408e-24	0.983360304392152	0.45	0.297	1.53820523834208e-19
hdac4	1	6.89503405388116e-24	2.44805718893753	0.146	0.029	1.63508837553738e-19
zgc:158803	1	7.00502722807799e-24	1.03631475238393	0.335	0.172	1.66117215686642e-19
copb2	1	7.23336361176951e-24	-0.967109547419368	0.224	0.374	1.71531984689502e-19
fcf1	1	8.19446427991696e-24	-1.17977392686785	0.115	0.24	1.94323525933951e-19
cox14	1	8.22704128175965e-24	-1.30215962558069	0.106	0.226	1.95096056955648e-19
rpl30	1	8.52321578631807e-24	-0.327987623233828	0.999	1	2.02119539156747e-19
ppfibp1a	1	9.28064868131818e-24	1.01985580117468	0.361	0.197	2.20081302828779e-19
fbxl14b	1	9.37248614034578e-24	1.3611480128941	0.271	0.119	2.2225913633216e-19
lrrn1	1	9.53027674877868e-24	-1.12320094062621	0.112	0.236	2.26000982820538e-19
dldh	1	9.55758406415866e-24	-0.805830738486319	0.216	0.378	2.26648548497458e-19
zgc:77262	1	9.75489289387059e-24	-1.4743255828239	0.066	0.168	2.31327530085247e-19
elavl4	1	9.9745234360898e-24	-2.97384656156457	0.037	0.117	2.36535848763434e-19
creb3l2	1	1.08921370117309e-23	1.11035461772203	0.352	0.194	2.58296137096187e-19
exoc3l2b	1	1.09340766629818e-23	1.69419259740416	0.202	0.066	2.59290693985951e-19
fkbp4	1	1.2100450492969e-23	1.00307819164249	0.476	0.35	2.86950082990266e-19
idh2	1	1.25855751739311e-23	-0.518809296330539	0.631	0.791	2.98454329674603e-19
coa5	1	1.2683547733328e-23	-1.33315957436301	0.096	0.211	3.00777650948139e-19
CABZ01026681.1	1	1.270412290611e-23	-1.26787470535648	0.086	0.199	3.01265570595493e-19
pik3r3a	1	1.29464827726663e-23	1.19236561397328	0.326	0.17	3.0701289247101e-19
abce1	1	1.32384582408725e-23	-0.584167763786523	0.342	0.537	3.13936798724051e-19
ivns1abpa	1	1.39785141556232e-23	1.2158919053444	0.341	0.187	3.31486484686448e-19
hivep1	1	1.40224169862495e-23	0.873781488381514	0.611	0.54	3.32527596411921e-19
slc25a33	1	1.4145516416971e-23	1.033500203977	0.44	0.284	3.35446776312051e-19
usf1l	1	1.57746904993513e-23	-1.27595430837439	0.104	0.223	3.74081010501616e-19
naa40.1	1	1.64024363978113e-23	-1.4258363276208	0.083	0.193	3.88967376737697e-19
uqcrh	1	1.67556357381254e-23	-0.419421920952508	0.789	0.905	3.97343145893907e-19
nbr1a	1	1.69409438454599e-23	0.961434954422664	0.367	0.203	4.01737542351237e-19
dvl3a	1	1.75818284418973e-23	-1.23754206918183	0.089	0.203	4.16935479671153e-19
arl14ep	1	1.8051717072792e-23	-1.72170339344473	0.041	0.126	4.28078418664189e-19
tent4b	1	1.97175928910625e-23	0.858336519369022	0.437	0.275	4.67582997818656e-19
atp2b1a	1	1.99802416181629e-23	-0.745821567405893	0.45	0.635	4.73811449733114e-19
cox6b2	1	2.03536002350518e-23	-0.373789307971276	0.946	0.981	4.82665275974018e-19
tmem127	1	2.07914873567091e-23	-1.45514592104723	0.107	0.224	4.93049331177001e-19
fmr1	1	2.23175357407137e-23	-1.20453793662585	0.124	0.251	5.29238042555284e-19
diablob	1	2.30879255473917e-23	-1.9389371857775	0.031	0.107	5.47507066430846e-19
anp32a	1	2.31472500129995e-23	-0.488533045894201	0.539	0.754	5.48913886808269e-19
ak1	1	2.43626851047041e-23	1.2005140671909	0.326	0.167	5.77736714572954e-19
rpl23	1	2.54552601857658e-23	-0.289393361424501	0.999	1	6.03646040045249e-19
zc4h2	1	2.97488518492618e-23	-1.677286365256	0.057	0.151	7.05464272753394e-19
igdcc3	1	3.15997235060292e-23	-2.64133310088392	0.042	0.124	7.49355843221976e-19
si:ch211-284b7.3	1	3.17207329749669e-23	-1.24862375855672	0.083	0.194	7.52225461768365e-19
rnf144b	1	3.23318854522317e-23	1.24841776152647	0.29	0.139	7.66718331614222e-19
psmd9	1	3.4384714333588e-23	-1.25512708584019	0.087	0.198	8.15399115706706e-19
ehbp1l1b	1	3.82569189845023e-23	-1.44442409711004	0.1	0.215	9.07224576798487e-19
eif4bb	1	4.08198517825348e-23	-0.655790861636231	0.337	0.523	9.6800196517103e-19
bahcc1b	1	4.15268637201936e-23	-1.17958420591484	0.133	0.261	9.84768046260672e-19
pdrg1	1	4.28693438032765e-23	-1.96023613004592	0.034	0.112	1.0166036189509e-18
ercc6	1	4.30630965921012e-23	1.69659816911928	0.184	0.055	1.02119827258509e-18
entr1	1	4.41482711155576e-23	-1.88045752888085	0.033	0.11	1.04693210123433e-18
epha2b	1	4.6811639829086e-23	2.49908401285894	0.13	0.021	1.11009122690695e-18
rpl14	1	5.28564627931628e-23	-0.291987966011606	0.999	1	1.25343815867706e-18
rbpms2a	1	5.40237907784086e-23	-0.82287733711528	0.558	0.648	1.28112017451918e-18
